TICKER,ASOF_DATE,YR,CASH,RECEIVABLES,INVENTORY,PREPAID,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PPE,LONG_TERM_INVESTMENTS,GOODWILL_INTANGIBLE_ASSETS,OTHER_LONG_TERM_ASSETS,TOTAL_LONG_TERM_ASSETS,TOTAL_ASSETS,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,OTHER_NONCURRENT_LIABILITIES,TOTAL_LONG_TERM_LIABILITIES,TOTAL_LIABILITIES,NET_COMMON_STOCK,RETAINED_EARNINGS,COMPREHENSIVE_INCOME,OTHER_SHAREHOLDERS_EQUITY,SHAREHOLDER_EQUITY,TOTAL_LIABILITIES_AND_SHAREHOLDERS_EQUITY,SOURCE_FILE,LOAD_BATCH_ID,LOADED_AT
KO,3/7/2026,2005,4767,2281,1379,1778,0,10205,5831,6922,3821,2648,19222,29427,9836,1154,1730,3236,13072,877,31299,-1669,0,16355,29427,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2004,6768,2244,1420,1849,0,12281,6091,6252,3836,2981,19160,31441,11133,1157,2814,4373,15506,875,29105,-1348,0,15935,31441,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2003,3482,2091,1252,1571,0,8396,6097,5538,3989,3322,18946,27342,7886,2517,2512,5366,13252,874,26687,-1995,0,14090,27342,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2002,2345,2097,1294,1616,0,7352,5911,4991,3458,2694,17054,24406,7341,2701,2260,5265,12606,873,24506,-3047,0,11800,24406,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2001,1934,1882,1055,2300,0,7171,4453,5422,2579,2792,15246,22417,8429,1219,961,2622,11051,873,23443,-2788,0,11366,22417,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2000,1892,1757,1066,1905,0,6620,4168,8129,1917,0,14214,20834,9321,835,1004,2197,11518,870,21265,-2722,0,9316,20834,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,1999,1812,1798,1076,0,1794,6480,4267,8916,1960,0,15143,21623,9856,854,902,2254,12110,867,20773,0,-1551,9513,21623,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,1998,1807,1666,890,0,2017,6380,3669,8549,547,0,12765,19145,8640,687,991,2102,10742,865,19922,0,-1434,8403,19145,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,1997,1843,1639,959,0,1528,5969,3743,6044,727,457,10971,16940,7379,801,1001,2250,9629,861,17869,0,-1364,7311,16940,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,1996,1658,1641,952,0,1659,5910,3550,5211,753,737,10251,16161,7406,1116,1182,2599,10005,858,15127,0,-567,6156,16161,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
