Year,Revenue,EBIT,Income_Taxes,Pretax_Income,Diluted_Shares,D&A_Raw,CapEx_Raw,Current_Assets,Current_Liabilities,EBIT_Margin,Tax_Rate,NWC,NWC_Change,D&A,CapEx,Tax_Expense,EBIT_Calc,NOPAT,FCF,Period,Discount_Factor,DCF
2018,34300000000.0,9152000000.0,1749000000.0,8225000000.0,4299000000.0,1086000000.0,1300000000.0,24930000000.0,28782000000.0,0.26682215743440235,0.21264437689969604,-3852000000.0,,1086000000.0,1300000000.0,7293702127.6595745,9152000000.0,1858297872.3404255,,-7,,
2019,37266000000.0,10086000000.0,1801000000.0,10786000000.0,4314000000.0,1365000000.0,1076000000.0,20411000000.0,26973000000.0,0.27064884881661566,0.16697570925273503,-6562000000.0,-2710000000.0,1365000000.0,1076000000.0,6222516781.0124235,10086000000.0,3863483218.9875765,6862483218.9875765,-6,,
2020,33014000000.0,8997000000.0,1981000000.0,9749000000.0,4323000000.0,1536000000.0,988000000.0,19240000000.0,14601000000.0,0.2725207487732477,0.20320032823879372,4639000000.0,11201000000.0,1536000000.0,988000000.0,6708455636.475536,8997000000.0,2288544363.5244637,-8364455636.475536,-5,,
2021,38655000000.0,10308000000.0,2621000000.0,12425000000.0,4340000000.0,1452000000.0,1259000000.0,22545000000.0,19950000000.0,0.26666666666666666,0.2109456740442656,2595000000.0,-2044000000.0,1452000000.0,1259000000.0,8154105030.181087,10308000000.0,2153894969.8189135,4390894969.818913,-4,,
2022,43004000000.0,10909000000.0,2115000000.0,11686000000.0,4350000000.0,1260000000.0,1409000000.0,22591000000.0,19724000000.0,0.2536740768300623,0.1809857949683382,2867000000.0,272000000.0,1260000000.0,1409000000.0,7783113126.818416,10909000000.0,3125886873.1815844,2704886873.1815844,-3,,
2023,45754000000.0,11311000000.0,2249000000.0,12952000000.0,4339000000.0,1128000000.0,1778000000.0,26732000000.0,23571000000.0,0.24721335839489444,0.17364113650401483,3161000000.0,294000000.0,1128000000.0,1778000000.0,7944776559.604694,11311000000.0,3366223440.3953056,2422223440.3953056,-2,,
2024,47061000000.0,9992000000.0,2437000000.0,13086000000.0,4320000000.0,1075000000.0,2024000000.0,25997000000.0,25249000000.0,0.21232018019166612,0.1862295583065872,748000000.0,-2413000000.0,1075000000.0,2024000000.0,8764149243.4663,9992000000.0,1227850756.533701,2691850756.533701,-1,,
2025,47941000000.0,13762000000.0,2861000000.0,15998000000.0,4313000000.0,1050000000.0,2099000000.0,,,0.28706117936630443,0.1788348543567946,748000000.0,0.0,1050000000.0,2099000000.0,8573521752.71909,13762000000.0,5188478247.28091,4139478247.2809095,0,,
2026,50454211958.542244,14765790578.479572,,,4313000000.0,1583486149.037278,1814375256.759874,,,0.29265724317748704,0.1788348543567946,737122915.7037278,-10877084.296272159,1583486149.037278,1814375256.759874,9022971647.292747,14765790578.479572,5742818931.186825,5522806907.760501,1,0.9345794392523364,5161501782.953739
2027,53099174075.58264,15842796934.131386,,,4313000000.0,1666497273.6685226,1909490285.4946122,,,0.29836239847309803,0.1788348543567946,726404001.1438035,-10718914.559924364,1666497273.6685226,1909490285.4946122,9495983062.272905,15842796934.131386,6346813871.85848,6114539774.592315,2,0.8734387282732116,5340675844.695881
2028,55882793092.196205,16998359374.128925,,,4313000000.0,1753860092.071597,2009591531.1971488,,,0.3041787719179461,0.1788348543567946,715840956.2860621,-10563044.857741356,1753860092.071597,2009591531.1971488,9993791163.693796,16998359374.128925,7004568210.435129,6759399816.167317,3,0.8162978768908519,5517683718.993795
2029,58812337821.67722,18238207723.88627,,,4313000000.0,1845802733.1722069,2114940386.4148102,,,0.31010853163473423,0.1788348543567946,705431514.5424156,-10409441.743646502,1845802733.1722069,2114940386.4148102,10517695868.72225,18238207723.88627,7720511855.164019,7461783643.665062,4,0.7628952120475251,5692559015.086612
2030,61895458130.45814,19568489738.24395,,,4313000000.0,1942565285.103088,2225811946.6814227,,,0.3161538880122529,0.1788348543567946,695173442.2844948,-10258072.257920861,1942565285.103088,2225811946.6814227,11069065240.10756,19568489738.24395,8499424498.136391,8226435908.815977,5,0.7129861794836683,5865335109.393962
